Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris - Euronext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument's name,ISIN,Euronext code,Market,Symbol,ICB Sector (Level 4),Trading currency,Last,Volume,D/D-1 (%),Date - time (CET),Turnover,Total number of shares,Capitalisation,Compartment,Investment zone,Eligibility,Trading mode,Day First,Day High,Day High / Date - time (CET),Day Low,Day Low / Date - time (CET), 31-12/Change (%), 31-12/High, 31-12/High/Date, 31-12/Low, 31-12/Low/Date, 52 weeks/Change (%), 52 weeks/High, 52 weeks/High/Date, 52 weeks/Low, 52 weeks/Low/Date,Website,Investor relation contact,Phone number,ICB Sector (Level 1),ICB Sector (Level 2),ICB Sector (Level 3),Personal equity saving plan eligibility,Deferred Settlement Service,Halted,Halted / Date - time (CET)
ADP,FR0010340141,FR0010340141,PAR,ADP,2777 Transportation Services,EUR,52.85,45810,1.05,2009/12/11 17:35,2409888,"98,960,602","5,230,067,816",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,52,52.88,2009/12/11 11:42,51.6,2009/12/11 9:02,-10.53,67.04,1931/5/11,49.755,2025/11/11,-13.74,67.04,1931/5/11,49.76,2025/11/11,"=LIEN_HYPERTEXTE(""http://www.aeroportsdeparis.fr"";""http://www.aeroportsdeparis.fr"")",Florence Dalon,+33 (0)1 43 35 70 58,2000 Industrials,2700 Industrial Goods & Services,2770 Industrial Transportation,Yes,Yes,-,-
ADT S.I.I.C.,FR0000064594,FR0000064594,PAR,EADT,8674 Diversified REITs,EUR,0.01,10000,0,2008/12/11 14:57,100,"434,421,861","4,344,219",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,0.01,0.01,2008/12/11 14:57,0.01,2008/12/11 14:57,0,0.02,2023/6/11,0.01,2007/12/11,0,0.02,2023/6/11,0.01,2007/12/11,"=LIEN_HYPERTEXTE(""http://www.adtsiic.com"";""http://www.adtsiic.com"")",-,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
ADVINI,FR0000053043,FR0000053043,PAR,ADVI,3535 Distillers & Vintners,EUR,24.85,1,0,2009/12/11 9:00,25,"3,491,199","86,756,295",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,24.85,24.85,2009/12/11 9:00,24.85,2009/12/11 9:00,21.87,27,2007/4/11,19.8,2017/1/11,27.44,27,2007/4/11,19.21,2009/12/10,"=LIEN_HYPERTEXTE(""http://www.advini.fr"";""http://www.advini.fr"")",-,-,3000 ConsumerGoods,3500 Food & Beverage,3530 Beverages,Yes,No,-,-
AEDIAN,FR0004005924,FR0004005924,PAR,AEDI,9533 Computer Services,EUR,4.15,7783,-1.19,2009/12/11 17:22,32650,"1,839,082","7,632,190",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,4.26,4.26,2009/12/11 9:00,4,2009/12/11 17:01,-10.75,5.78,2017/2/11,3.6,2014/9/11,-15.48,5.78,2017/2/11,3.6,2014/9/11,"=LIEN_HYPERTEXTE(""http://www.aedian.com"";""http://www.aedian.com"")",Frédéric Bourdon,156353000,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
AFFINE,FR0000036105,FR0000036105,PAR,IML,8671 Industrial & Office REITs,EUR,13.59,9400,-0.15,2009/12/11 17:35,127172,"9,002,042","122,337,751",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,13.35,13.72,2009/12/11 17:14,13.35,2009/12/11 9:00,-20.53,23.75,2009/3/11,12.14,2024/11/11,-20.94,23.75,2009/3/11,12.14,2024/11/11,"=LIEN_HYPERTEXTE(""http://www.affine.fr"";""http://www.affine.fr"")",Frank Lutz,01 44 90 43 53,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
AFFIPARIS,FR0010148510,FR0010148510,PAR,FID,8671 Industrial & Office REITs,EUR,8.18,996,-2.27,2009/12/11 16:58,8182,"5,506,200","45,040,716",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,8.37,8.37,2009/12/11 9:00,8.18,2009/12/11 16:58,8.09,10.24,2011/10/11,7.17,2003/1/11,13.5,10.24,2011/10/11,6.89,2010/12/10,"=LIEN_HYPERTEXTE(""http://www.affiparis.fr"";""http://www.affiparis.fr"")",Frank Lutz,+ 33 (0)1 44 90 43 53,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
AFONE,FR0000044612,FR0000044612,PAR,AFO,6535 Fixed Line Telecommunications,EUR,11.3,1020,0.89,2009/12/11 16:30,11520,"6,235,410","70,460,133",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,11.18,11.3,2009/12/11 10:23,11.18,2009/12/11 9:26,73.85,14.44,2021/4/11,6.5,2003/1/11,76.56,14.44,2021/4/11,6.02,2017/12/10,"=LIEN_HYPERTEXTE(""http://www.afone.com"";""http://www.afone.com"")",Hélène ROCH,+33 (0) 6 09 78 13 62,6000 Telecommunications,6500 Telecommunications,6530 Fixed Line Telecommunications,Yes,No,-,-
AGRICOLE CRAU,FR0000062176,FR0000062176,PAR,AGCR,3573 Farming & Fishing,EUR,166.84,7,18.33,2009/12/11 16:30,1168,"201,228","33,572,880",Compartment C (Small Caps),French zone  ,PEA eligible,Double call auction,166.9,166.9,2009/12/11 11:30,166.84,2009/12/11 16:30,-40.41,430,2028/4/11,141,2008/12/11,-40.41,430,2028/4/11,141,2008/12/11,"=LIEN_HYPERTEXTE(""http://www.compagnie-agricole-de-la-crau.fr"";""http://www.compagnie-agricole-de-la-crau.fr"")",Sylvie Rambaud,+33(0)4 72 52 22 00,3000 ConsumerGoods,3500 Food & Beverage,3570 Food Producers,Yes,No,-,-
AGTA RECORD,CH0008853209,CH0008853209,PAR,AGTA,2353 Building Materials & Fixtures,EUR,25.7,1051,0.74,2009/12/11 9:49,26951,"13,179,600","338,715,720",Compartment B (Mid Caps),International zone (out of Euro)  ,,Continuous,25.51,25.7,2009/12/11 9:03,25.51,2009/12/11 9:00,17.41,25.79,2018/11/11,21.89,2005/1/11,11.11,25.79,2018/11/11,21.89,2005/1/11,"=LIEN_HYPERTEXTE(""http://www.agta-record.com"";""http://www.agta-record.com"")",-,-,2000 Industrials,2300 Construction & Materials,2350 Construction & Materials,No,No,-,-
AIR FRANCE -KLM,FR0000031122,FR0000031122,PAR,AF,5751 Airlines,EUR,4.201,3302000,3.12,2009/12/11 17:35,13712052,"300,219,278","1,261,221,187",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,4.05,4.218,2009/12/11 12:53,4.034,2009/12/11 9:01,-69.18,15.3,2012/1/11,3.414,2023/11/11,-70.26,15.3,2012/1/11,3.41,2023/11/11,"=LIEN_HYPERTEXTE(""http://www.airfranceklm-finance.com"";""http://www.airfranceklm-finance.com"")",Dominique Barbarin,01  41 56 88 60,5000 Consumer Services,5700 Travel & Leisure,5750 Travel & Leisure,Yes,Yes,-,-
AIR LIQUIDE,FR0000120073,FR0000120073,PAR,AI,1353 Commodity Chemicals,EUR,92.25,792955,1.51,2009/12/11 17:35,72611718,"283,746,333","26,175,599,219",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,90.15,92.34,2009/12/11 16:03,90.11,2009/12/11 9:00,-2.53,100.65,2002/5/11,80.9,2011/8/11,-3.3,100.65,2002/5/11,80.9,2011/8/11,"=LIEN_HYPERTEXTE(""http://www.airliquide.com"";""http://www.airliquide.com"")",-,-,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,Yes,Yes,-,-
AKKA TECH. BSAAR,FR0010575563,FR0010575563,PAR,AKABS,2791 Business Support Services,EUR,9.2,242,2.22,2009/12/11 10:13,2226,"273,419","2,515,455",null,French zone  ,PEA eligible,Continuous,9.2,9.2,2009/12/11 10:13,9.2,2009/12/11 10:13,106.74,15.1,2025/7/11,4.81,2017/1/11,130,15.1,2025/7/11,3.9,2021/12/10,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2790 Support Services,Yes,No,-,-
AKKA TECHNOLOGIES,FR0004180537,FR0004180537,PAR,AKA,2791 Business Support Services,EUR,16.8,29236,4.67,2009/12/11 17:35,490189,"12,154,498","204,195,566",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,16.69,17,2009/12/11 14:02,16.31,2009/12/11 9:01,24.03,22.54,2022/7/11,12.9,2021/11/11,32.95,22.54,2022/7/11,12.56,2009/12/10,"=LIEN_HYPERTEXTE(""http://www.akka.fr"";""http://www.akka.fr"")",Nicolas VALTILLE,+33 4 78 92 60 80,2000 Industrials,2700 Industrial Goods & Services,2790 Support Services,Yes,No,-,-
ALCATEL-LUCENT,FR0000130007,FR0000130007,PAR,ALU,9578 Telecommunications Equipment,EUR,1.262,57424404,7.13,2009/12/11 17:35,70438401,"2,320,273,131","2,928,184,691",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,1.2,1.265,2009/12/11 17:27,1.18,2009/12/11 9:03,-42.11,4.47,2006/5/11,1.111,2023/11/11,-43.99,4.47,2006/5/11,1.11,2023/11/11,"=LIEN_HYPERTEXTE(""http://www.alcatel-lucent.com"";""http://www.alcatel-lucent.com"")",Frank Maccary,+33 (0)1 40 76 12 11,9000 Technology,9500 Technology,9570 Technology Hardware & Equipment,Yes,Yes,-,-
ALPES (COMPAGNIE),FR0000053324,FR0000053324,PAR,CDA,5755 Recreational Services,EUR,15.06,17651,-4.62,2009/12/11 17:35,268198,"24,153,761","363,755,641",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,15.66,15.8,2009/12/11 9:27,14.96,2009/12/11 13:17,-35.89,24.32,2007/2/11,13.51,2025/11/11,-35.64,24.32,2007/2/11,13.51,2025/11/11,"=LIEN_HYPERTEXTE(""http://www.compagniedesalpes.com"";""http://www.compagniedesalpes.com"")",Monteil-Robert,0146 84 88 79,5000 Consumer Services,5700 Travel & Leisure,5750 Travel & Leisure,Yes,No,-,-
ALPHA M.O.S. BS,FR0011073915,FR0011073915,PAR,ALMBS,2737 Electronic Equipment,EUR,0.004,19500,300,2001/12/11 9:37,78,"513,835","2,055",null,French zone  ,PEA eligible,Continuous,0.004,0.004,2001/12/11 9:37,0.004,2001/12/11 9:37,-98.6,0.285,2025/8/11,0.001,2028/11/11,-98.6,0.29,2025/8/11,0,2028/11/11,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2730 Electronical & Electrical Equipment,Yes,No,-,-
ALPHA MOS,FR0000062804,FR0000062804,PAR,ALM,2737 Electronic Equipment,EUR,2.27,1810,-3.4,2009/12/11 17:35,4051,"3,905,147","8,864,684",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,2.34,2.34,2009/12/11 9:00,2.2,2009/12/11 16:51,-13.26,3.83,2014/1/11,2.06,2024/11/11,-13.91,3.83,2014/1/11,2.06,2024/11/11,"=LIEN_HYPERTEXTE(""http://www.alpha-mos.com"";""http://www.alpha-mos.com"")",-,-,2000 Industrials,2700 Industrial Goods & Services,2730 Electronical & Electrical Equipment,Yes,No,-,-
ALSTOM,FR0010220475,FR0010220475,PAR,ALO,2757 Industrial Machinery,EUR,24.555,2158602,3.85,2009/12/11 17:35,51743273,"294,634,828","7,234,758,202",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,23.39,24.69,2009/12/11 16:06,23.27,2009/12/11 9:04,-31.43,45.32,2028/4/11,21.815,2025/11/11,-29.33,45.32,2028/4/11,21.82,2025/11/11,"=LIEN_HYPERTEXTE(""http://www.alstom.com"";""http://www.alstom.com"")",Châtelain Emmanuelle,01 41 49 37 38,2000 Industrials,2700 Industrial Goods & Services,2750 Industrial Engineering,Yes,Yes,-,-
ALTAMIR AMBOISE,FR0000053837,FR0000053837,PAR,LTA,8985 Equity Investment Instruments,EUR,5.94,46932,5.51,2009/12/11 17:35,278640,"36,512,301","216,883,068",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,5.65,6.05,2009/12/11 16:47,5.65,2009/12/11 9:00,-7.48,8.32,2002/5/11,5.48,2025/11/11,-0.5,8.32,2002/5/11,5.48,2025/11/11,"=LIEN_HYPERTEXTE(""http://www.altamir-amboise.fr"";""http://www.altamir-amboise.fr"")",Claude Rosevègue,01 53 65 01 00,8000 Financials,8900 Equity/NonEquity Investment Instruments,8980 Equity Investment Instruments,Yes,No,-,-
ALTAREA,FR0000033219,FR0000033219,PAR,ALTA,8672 Retail REITs,EUR,122,402,-0.81,2009/12/11 17:35,49252,"10,178,817","1,241,815,674",Compartment A (Large Caps),French zone  ,PEA eligible,Continuous,123.01,123.08,2009/12/11 9:11,122,2009/12/11 17:27,-2.4,148.5,2021/6/11,111,2029/11/11,-3.94,148.5,2021/6/11,111,2029/11/11,"=LIEN_HYPERTEXTE(""http://www.altarea-cogedim.com"";""http://www.altarea-cogedim.com"")",-,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
ALTAREIT,FR0000039216,FR0000039216,PAR,AREIT,8633 Real Estate Holding & Development,EUR,108.51,1,0,2009/12/11 11:30,109,"1,750,487","189,945,344",Compartment C (Small Caps),French zone  ,PEA eligible,Double call auction,108.51,108.51,2009/12/11 11:30,108.51,2009/12/11 11:30,77.91,117,2011/5/11,60.35,2007/3/11,78.44,117,2011/5/11,60.35,2007/3/11,"=LIEN_HYPERTEXTE(""http://www.altarea-cogedim.com"";""http://www.altarea-cogedim.com"")",Eric Dumas,01 44 95 51 42,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,-,-
ALTEN,FR0000071946,FR0000071946,PAR,ATE,9533 Computer Services,EUR,20.71,44669,2.45,2009/12/11 17:35,911142,"32,264,487","668,197,526",Compartment B (Mid Caps),French zone  ,SRD and PEA eligible,Continuous,20.22,20.71,2009/12/11 17:35,20.06,2009/12/11 11:09,-15.76,29.3,2008/7/11,17.56,2023/9/11,-13.51,29.3,2008/7/11,17.56,2023/9/11,"=LIEN_HYPERTEXTE(""http://www.alten.fr"";""http://www.alten.fr"")",-,-,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,Yes,-,-
ALTRAN TECHN.,FR0000034639,FR0000034639,PAR,ALT,9533 Computer Services,EUR,2.988,754289,3.75,2009/12/11 17:35,2225505,"143,708,816","429,401,942",Compartment B (Mid Caps),French zone  ,SRD and PEA eligible,Continuous,2.939,2.998,2009/12/11 9:46,2.87,2009/12/11 9:05,-8.15,6.069,2008/7/11,2.671,2023/11/11,-0.73,6.07,2008/7/11,2.67,2023/11/11,"=LIEN_HYPERTEXTE(""http://www.altran.com"";""http://www.altran.com"")",-,-,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,Yes,-,-
ANF IMMOBILIER,FR0000063091,FR0000063091,PAR,ANF,8671 Industrial & Office REITs,EUR,27.9,9247,0.87,2009/12/11 17:35,258976,"27,774,794","774,916,753",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,27.62,28.47,2009/12/11 16:17,27.61,2009/12/11 16:58,-10,36,2006/4/11,26.75,2009/8/11,-11,36,2006/4/11,26.75,2009/8/11,"=LIEN_HYPERTEXTE(""http://www.anf-immobilier.com"";""http://www.anf-immobilier.com"")",Jean-Annet de Saint Rapt,+33 (0)1 44 15 01 11,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
ANGLOGOLD ASHANTI,ZAE000043485,ZAE000043485,PAR,VA,1777 Gold Mining,EUR,34.06,2369,1.94,2009/12/11 17:05,79797,"362,352,345","12,341,720,871",null,International zone (out of Euro)  ,,Continuous,33.66,34.06,2009/12/11 17:05,33.26,2009/12/11 16:12,-6.89,37.59,2004/1/11,28.01,2027/6/11,-6.86,38.05,2015/12/10,28.01,2027/6/11,"=LIEN_HYPERTEXTE(""http://www.anglogold.com"";""http://www.anglogold.com"")",-,-,1000 BasicMaterials,1700 Basic Resources,1770 Mining,No,No,-,-
ANOVO,FR0010698217,FR0010698217,PAR,NOV,2791 Business Support Services,EUR,2.56,150613,-7.58,2018/7/11 17:35,395548,"7,983,379","20,437,450",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,2.75,2.75,2018/7/11 9:00,2.56,2018/7/11 13:24,-53.62,5.7,2018/1/11,2.56,2018/7/11,-55.86,5.8,2019/7/10,2.56,2018/7/11,"=LIEN_HYPERTEXTE(""http://www.anovo.com"";""http://www.anovo.com"")",-,-,2000 Industrials,2700 Industrial Goods & Services,2790 Support Services,Yes,No,Halted,2019/7/11
APERAM,LU0569974404,NSCNL00APAM5,AMS,APAM,1757 Iron & Steel,EUR,11.08,621773,1,2009/12/11 17:35,6891527,"78,049,730","864,791,008",Compartment A (Large Caps),Euro zone  ,PEA eligible,Continuous,10.88,11.31,2009/12/11 12:57,10.76,2009/12/11 9:03,-62.74,32.2,2027/1/11,9.41,2023/9/11,-62.74,32.2,2027/1/11,9.41,2023/9/11,"=LIEN_HYPERTEXTE(""http://www.aperam.com"";""http://www.aperam.com"")",-,-,1000 BasicMaterials,1700 Basic Resources,1750 Industrial Metals & Mining,Yes,No,-,-
APRIL,FR0004037125,FR0004037125,PAR,APR,8534 Insurance Brokers,EUR,12.75,6898,0.55,2009/12/11 17:35,87303,"40,894,135","521,400,221",Compartment B (Mid Caps),French zone  ,SRD and PEA eligible,Continuous,12.65,12.75,2009/12/11 17:18,12.5,2009/12/11 9:05,-39.67,24,2002/2/11,10.305,2004/10/11,-37.39,24,2002/2/11,10.31,2004/10/11,"=LIEN_HYPERTEXTE(""http://www.aprilgroup.com"";""http://www.aprilgroup.com"")",-,-,8000 Financials,8500 Insurance,8530 Nonlife Insurance,Yes,Yes,-,-
APRR,FR0006807004,FR0006807004,PAR,ARR,2777 Transportation Services,EUR,49.37,571,0.51,2009/12/11 17:35,28020,"113,038,156","5,580,693,762",Compartment A (Large Caps),French zone  ,PEA eligible,Continuous,49.01,50,2009/12/11 13:15,48.8,2009/12/11 9:16,-4.12,52.58,2009/3/11,46.06,2028/6/11,-7.37,54,2023/12/10,46.06,2028/6/11,"=LIEN_HYPERTEXTE(""http://www.aprr.fr"";""http://www.aprr.fr"")",-,800128128,2000 Industrials,2700 Industrial Goods & Services,2770 Industrial Transportation,Yes,No,-,-
ARCELORMITTAL,LU0323134006,NSCNL0000MT9,AMS,MT,1757 Iron & Steel,EUR,14.14,9516736,4.47,2009/12/11 17:37,132488257,"1,560,914,610","22,071,332,585",Compartment A (Large Caps),Euro zone  ,PEA eligible,Continuous,13.35,14.175,2009/12/11 12:56,13.29,2009/12/11 9:02,-47.55,28.55,2008/2/11,10.465,2023/9/11,-44.53,28.55,2008/2/11,10.47,2023/9/11,"=LIEN_HYPERTEXTE(""http://www.arcelormittal.com"";""http://www.arcelormittal.com"")",-,-,1000 BasicMaterials,1700 Basic Resources,1750 Industrial Metals & Mining,Yes,No,-,-
ARCHOS,FR0000182479,FR0000182479,PAR,JXR,3743 Consumer Electronics,EUR,5.49,666981,5.98,2009/12/11 17:35,3577250,"25,028,462","137,406,256",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,5.18,5.49,2009/12/11 17:35,5.14,2009/12/11 9:03,36.53,12.57,2024/6/11,4.06,2003/1/11,40.96,12.57,2024/6/11,3.77,2015/12/10,"=LIEN_HYPERTEXTE(""http://www.archos.com"";""http://www.archos.com"")",Loic POIRIER,-,3000 ConsumerGoods,3700 Personal,3740 Leisure Goods,Yes,No,-,-
AREVA,FR0011027143,FR0011027143,PAR,AREVA,7535 Conventional Electricity,EUR,20.33,24227,0.89,2009/12/11 17:35,492991,"383,204,852","7,790,554,641",Compartment A (Large Caps),French zone  ,"Issue price currency,PEA eligible",Continuous,20.11,20.645,2009/12/11 13:31,20.11,2009/12/11 9:00,-31.43,30.5,1930/5/11,18.695,2024/11/11,-31.43,30.5,1930/5/11,18.7,2024/11/11,"=LIEN_HYPERTEXTE(""http://www.areva.com"";""http://www.areva.com"")",-,-,7000 Utilities,7500 Utilities,7530 Electricity,Yes,No,-,-
ARGAN,FR0010481960,FR0010481960,PAR,ARG,8671 Industrial & Office REITs,EUR,11.71,184,-0.26,2009/12/11 16:37,2155,"13,712,722","160,575,975",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,11.71,11.72,2009/12/11 15:40,11.71,2009/12/11 9:00,-12.32,14.85,2001/2/11,9.6,2009/8/11,-12.07,14.85,2001/2/11,9.6,2009/8/11,"=LIEN_HYPERTEXTE(""http://www.argan.fr"";""http://www.argan.fr"")",-,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
