Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels - Euronext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Instrument's name,ISIN,Euronext code,Market,Symbol,ICB Sector (Level 4),Trading currency,Last,Volume,D/D-1 (%),Date - time (CET),Turnover,Total number of shares,Capitalisation,Compartment,Investment zone,Eligibility,Trading mode,Day First,Day High,Day High / Date - time (CET),Day Low,Day Low / Date - time (CET), 31-12/Change (%), 31-12/High, 31-12/High/Date, 31-12/Low, 31-12/Low/Date, 52 weeks/Change (%), 52 weeks/High, 52 weeks/High/Date, 52 weeks/Low, 52 weeks/Low/Date,Website,Investor relation contact,Phone number,ICB Sector (Level 1),ICB Sector (Level 2),ICB Sector (Level 3),Personal equity saving plan eligibility,Deferred Settlement Service,Halted,Halted / Date - time (CET)
GBL STRIP,BE0005588596,BE0005588596,BRU,GBLSB,8775 Specialty Finance,EUR,0.001,603,0,2009-12-11 15:00,1,"82,301,683","82,302",null,Belgium zone  ,,Call auction,0.001,0.001,2009-12-11 15:00,0.001,2009-12-11 15:00,-87.5,0.012,2005-4-11,0.001,2008-12-11,-88.89,0.01,2005-4-11,0,2008-12-11,-,-,-,8000 Financials,8700 Financial Services,8770 Financial Services,No,No,-,-
GDF SUEZ,FR0010208488,FR0010208488,PAR,GSZ,7575 Multiutilities,EUR,21.34,5353408,4.86,2009-12-11 17:37,112593423,"2,252,575,721","48,069,965,886",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,20.33,21.36,2009-12-11 17:28,20.305,2009-12-11 9:15,-20.52,30.05,2018-2-11,17.65,2025-11-11,-20.9,30.05,2018-2-11,17.65,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.gdfsuez.com"";""http://www.gdfsuez.com"")",Brigitte Roeser-Herlin,33 1 47 54 77 25,7000 Utilities,7500 Utilities,"7570 Gas, Water & Multiutilities",Yes,Yes,-,-
GDF SUEZ STRIP VV,BE0005628020,BE0005628020,BRU,GSZBS,7575 Multiutilities,EUR,0.001,200,0,2008-12-11 15:00,0,"403,697,374","403,697",null,French zone  ,,Call auction,0.001,0.001,2008-12-11 15:00,0.001,2008-12-11 15:00,0,0.001,2007-12-11,0.001,2007-12-11,0,0,2007-12-11,0,2007-12-11,-,-,-,7000 Utilities,7500 Utilities,"7570 Gas, Water & Multiutilities",No,No,Halted,2009-12-11
GENERAL ELECT.CERT,BE0004399342,BE0004399342,BRU,GEB,2727 Diversified Industrials,EUR,12.19,1000,-0.81,2009-12-11 11:30,12190,"10,048,000,000","122,485,120,000",null,International zone (out of Euro)  ,,Double call auction,12.19,12.19,2009-12-11 11:30,12.19,2009-12-11 11:30,-11.35,15.8,2014-2-11,10.06,2022-8-11,-3.86,15.8,2014-2-11,10.06,2022-8-11,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2720 General Industrials,No,No,-,-
GIMV,BE0003699130,BE0003699130,BRU,GIMB,8775 Specialty Finance,EUR,35.84,5645,-0.03,2009-12-11 17:35,203213,"23,176,005","830,628,019",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,35.52,36.29,2009-12-11 9:38,35.52,2009-12-11 9:00,-12.31,46.4,2003-6-11,33.4,2021-11-11,-11.48,46.4,2003-6-11,33.4,2021-11-11,"=LIEN_HYPERTEXTE(""http://www.gimv.com"";""http://www.gimv.com"")",Frank De Leenheer,+32 3 290 22 08,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
GLOBAL GRAPHICS,FR0004152221,FR0004152221,BRU,GLOG,9537 Software,EUR,0.98,1115,-4.85,2008-12-11 17:01,1106,"10,289,781","10,083,985",Compartment C (Small Caps),French zone  ,PEA eligible,Continuous,1,1,2008-12-11 12:34,0.98,2008-12-11 15:37,-26.32,1.8,2021-2-11,0.92,2029-11-11,-26.32,1.8,2021-2-11,0.92,2029-11-11,"=LIEN_HYPERTEXTE(""http://www.globalgraphics.com"";""http://www.globalgraphics.com"")",Jill Taylor,+44 1954 283074,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
GOLDFIELDS(X.DRIEF,BE0004529674,BE0004529674,BRU,GFLB,1777 Gold Mining,EUR,12.12,1898,-0.66,2009-12-11 15:14,22996,"653,243,630","7,917,312,796",null,International zone (out of Euro)  ,,Continuous,12.14,12.14,2009-12-11 9:00,12.07,2009-12-11 9:00,-8.87,13.57,2003-1-11,9.64,2027-6-11,-8.18,13.74,2015-12-10,9.64,2027-6-11,-,-,-,1000 BasicMaterials,1700 Basic Resources,1770 Mining,No,No,-,-
GOODYEAR CERT,BE0004359916,BE0004359916,BRU,GT,3357 Tires,EUR,10.45,530,0,2006-12-11 11:30,5539,"163,300,000","1,706,485,000",null,International zone (out of Euro)  ,,Double call auction,10.45,10.45,2006-12-11 11:30,10.45,2006-12-11 11:30,9.42,12.78,2011-5-11,6.8,2023-9-11,51.45,12.78,2011-5-11,6.8,2023-9-11,"=LIEN_HYPERTEXTE(""http://www.goodyear.com"";""http://www.goodyear.com"")",-,-,3000 ConsumerGoods,3300 Automobiles & Parts,3350 Automobiles & Parts,No,No,-,-
HAMON,BE0003700144,BE0003700144,BRU,HAMO,2757 Industrial Machinery,EUR,16.5,194,0,2009-12-11 14:28,3205,"7,191,472","118,659,288",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,16.51,16.67,2009-12-11 11:12,16.5,2009-12-11 9:26,-38.59,29.97,2018-1-11,16,2024-11-11,-38.32,29.97,2018-1-11,16,2024-11-11,"=LIEN_HYPERTEXTE(""http://www.hamon.com"";""http://www.hamon.com"")",Bernard Van Diest,+32 10 39 0422,2000 Industrials,2700 Industrial Goods & Services,2750 Industrial Engineering,Yes,No,-,-
HAMON STRIP,BE0005529970,BE0005529970,BRU,HAMS,2757 Industrial Machinery,EUR,0.015,1120,-50,2029-11-11 15:00,17,"1,825,662","27,385",null,Belgium zone  ,,Call auction,0.015,0.015,2029-11-11 15:00,0.015,2029-11-11 15:00,-50,1.01,2012-10-11,0.01,2018-7-11,-50,1.01,2012-10-11,0.01,2018-7-11,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2750 Industrial Engineering,No,No,Halted,2009-12-11
HARMONY CERT,BE0004558962,BE0004558962,BRU,HMY,1777 Gold Mining,EUR,9.9,1132,-0.1,2009-12-11 17:13,11191,"402,862,000","3,988,333,800",null,International zone (out of Euro)  ,,Continuous,9.86,9.95,2009-12-11 12:14,9.86,2009-12-11 10:44,5.88,10.83,2007-4-11,7.62,2026-1-11,8.79,10.83,2007-4-11,7.62,2026-1-11,"=LIEN_HYPERTEXTE(""http://www.harmony.co.za"";""http://www.harmony.co.za"")",-,-,1000 BasicMaterials,1700 Basic Resources,1770 Mining,No,No,-,-
HENEX,BE0003873909,BE0003873909,BRU,HENX,3577 Food Products,EUR,40.79,956,-0.75,2009-12-11 15:38,38913,"14,502,057","591,538,905",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,40.5,40.84,2009-12-11 9:21,40.5,2009-12-11 9:00,-6.25,51.2,2006-6-11,36.25,2028-11-11,-5.14,51.2,2006-6-11,36.25,2028-11-11,"=LIEN_HYPERTEXTE(""http://www.henex.be"";""http://www.henex.be"")",-,-,3000 ConsumerGoods,3500 Food & Beverage,3570 Food Producers,Yes,No,-,-
HOME INV.BELG-SIFI,BE0003760742,BE0003760742,BRU,HOMI,8673 Residential REITs,EUR,62.61,460,-3.6,2009-12-11 17:35,29091,"2,828,542","177,095,015",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,63.5,64,2009-12-11 16:04,62.61,2009-12-11 17:35,3.49,67.99,2007-6-11,58,2009-8-11,7.86,67.99,2007-6-11,57.5,2010-12-10,"=LIEN_HYPERTEXTE(""http://www.homeinvestbelgium.be"";""http://www.homeinvestbelgium.be"")",Xavier MERTENS,0032-(0)740.14.51,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
I.R.I.S  GROUP,BE0003756708,BE0003756708,BRU,IRIS,9537 Software,EUR,23,3681,3.14,2009-12-11 17:35,82933,"1,865,072","42,896,656",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,22.4,23,2009-12-11 17:35,22.01,2009-12-11 10:45,-20.39,38.49,2015-4-11,20.31,2025-11-11,-24.59,38.49,2015-4-11,20.31,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.iriscorporate.com"";""http://www.iriscorporate.com"")",Denis Hermesse,+32 10 48 74 60,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
I.R.I.S STRIP (D),BE0005555264,BE0005555264,BRU,IRIV,9537 Software,EUR,0.02,50,33.33,2009-12-11 15:00,1,"1,240,072","24,801",null,Belgium zone  ,,Call auction,0.02,0.02,2009-12-11 15:00,0.02,2009-12-11 15:00,-4.76,0.079,2015-4-11,0.001,2020-10-11,-4.76,0.08,2015-4-11,0,2020-10-11,-,-,-,9000 Technology,9500 Technology,9530 Software & Computer Services,No,No,-,-
IBA (D),BE0003766806,BE0003766806,BRU,IBAB,4535 Medical Equipment,EUR,4.95,8061,1.64,2009-12-11 17:35,39740,"27,365,028","135,456,889",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,4.83,5,2009-12-11 16:52,4.82,2009-12-11 11:32,-40.22,9.37,2010-2-11,4.37,2021-11-11,-41.7,9.37,2010-2-11,4.37,2021-11-11,"=LIEN_HYPERTEXTE(""http://www.iba-worldwide.com"";""http://www.iba-worldwide.com"")",Jean-Marc Bothy,+32 10 475 890,4000 HealthCare,4500 Health Care,4530 Health Care Equipment & Services,Yes,No,-,-
IBA STRIP (D),BE0005563342,BE0005563342,BRU,IBAS,4535 Medical Equipment,EUR,0.002,70000,0,2008-12-11 15:00,140,"12,630,438","25,261",null,Belgium zone  ,,Call auction,0.002,0.002,2008-12-11 15:00,0.002,2008-12-11 15:00,-50,0.013,2026-8-11,0.001,2002-12-11,-60,0.01,2017-12-10,0,2002-12-11,-,-,-,4000 HealthCare,4500 Health Care,4530 Health Care Equipment & Services,No,No,Halted,2009-12-11
IBM CERT,BE0004607488,BE0004607488,BRU,IBMC,9533 Computer Services,EUR,143.5,306,0.35,2009-12-11 16:57,43743,"873,986","125,416,991",null,International zone (out of Euro)  ,,Continuous,141.75,143.5,2009-12-11 16:57,141.5,2009-12-11 11:32,33.27,143.5,2009-12-11,106.2,2017-3-11,33.12,143.5,2009-12-11,104.88,2014-12-10,-,-,-,9000 Technology,9500 Technology,9530 Software & Computer Services,No,No,-,-
IMMO MOURY (D),BE0003893139,BE0003893139,BRU,IMMOU,8671 Industrial & Office REITs,EUR,61,1,0,2009-12-11 11:30,61,"406,287","24,783,507",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,61,61,2009-12-11 11:30,61,2009-12-11 11:30,7.58,63.99,2012-5-11,56.53,2008-2-11,4.92,63.99,2012-5-11,56.53,2008-2-11,"=LIEN_HYPERTEXTE(""http://www.immomoury.com"";""http://www.immomoury.com"")",-,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
IMMOBEL,BE0003599108,BE0003599108,BRU,IMMO,8633 Real Estate Holding & Development,EUR,24.84,216,1.14,2009-12-11 17:23,5296,"4,121,934","102,388,841",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,24.51,24.84,2009-12-11 17:23,24.5,2009-12-11 15:42,-21.34,34,2001-3-11,23.4,2008-8-11,-12.41,34,2001-3-11,23.4,2008-8-11,"=LIEN_HYPERTEXTE(""http://www.immobel.be"";""http://www.immobel.be"")",Gaëtan Piret,+32 2 422 54 47,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,-,-
IMPERIAL OIL,BE0004602430,BE0004602430,BRU,IMO,0573 Oil Equipment & Services,EUR,31.8,120,1.27,2009-12-11 11:30,3816,"882,073,000","28,049,921,400",null,International zone (out of Euro)  ,,Double call auction,31.8,31.8,2009-12-11 11:30,31.8,2009-12-11 11:30,10.72,38.51,2007-3-11,26.55,2022-9-11,16.48,38.51,2007-3-11,26.55,2022-9-11,"=LIEN_HYPERTEXTE(""http://www.imperialoil.ca"";""http://www.imperialoil.ca"")",Investor Relations,403-237-4538,0001 Oil&Gas,0500 Oil & Gas,"0570 Oil Equipment, Services & Distribution",No,No,-,-
ING GROEP,NL0000303600,NL0000303600,AMS,INGA,8575 Life Insurance,EUR,5.834,36084322,2.08,2009-12-11 17:36,210696279,"3,830,227,027","22,345,544,476",Compartment A (Large Caps),Netherlands zone  ,PEA eligible,Continuous,5.629,5.974,2009-12-11 13:25,5.606,2009-12-11 9:00,-19.86,9.5,1930-3-11,4.213,2023-9-11,-22.43,9.5,1930-3-11,4.21,2023-9-11,"=LIEN_HYPERTEXTE(""http://www.ing.com"";""http://www.ing.com"")",-,-,8000 Financials,8500 Insurance,8570 Life Insurance,Yes,No,-,-
ING GROEP CERT,BE0004523610,BE0004523610,BRU,INGS,8575 Life Insurance,EUR,5.92,13674,2.42,2009-12-11 15:41,79660,-,0,null,Netherlands zone  ,PEA eligible,Continuous,5.68,5.96,2009-12-11 12:38,5.61,2009-12-11 9:02,-19.46,9.44,1930-3-11,4.24,2023-9-11,-21.59,9.44,1930-3-11,4.24,2023-9-11,-,-,-,8000 Financials,8500 Insurance,8570 Life Insurance,Yes,No,-,-
INTERV.RETAIL-SIFI,BE0003754687,BE0003754687,BRU,INTV,8672 Retail REITs,EUR,45,50,0,2009-12-11 9:00,2250,"5,078,525","228,533,625",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,45,45,2009-12-11 9:00,45,2009-12-11 9:00,4.65,51.99,2016-2-11,42.5,2006-10-11,5.96,51.99,2016-2-11,42.2,2010-12-10,"=LIEN_HYPERTEXTE(""http://www.intervest.be"";""http://www.intervest.be"")",Jean-Paul Sols,+32 (0)3 287 67 87,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
INTERVEST OFF-WARE,BE0003746600,BE0003746600,BRU,INTO,8671 Industrial & Office REITs,EUR,19.2,1512,0,2009-12-11 17:35,28865,"13,907,267","267,019,526",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,19.16,19.2,2009-12-11 9:31,18.82,2009-12-11 14:53,-18.26,25.92,2014-3-11,17.17,2029-11-11,-16.99,25.92,2014-3-11,17.17,2029-11-11,"=LIEN_HYPERTEXTE(""http://www.intervest.be"";""http://www.intervest.be"")",Jean-Paul Sols,+ 32 (0)3 287 67 87,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
JENSEN-GROUP,BE0003858751,BE0003858751,BRU,JEN,2757 Industrial Machinery,EUR,7.9,1440,2.6,2009-12-11 17:05,11232,"8,002,968","63,223,447",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,7.8,7.9,2009-12-11 17:05,7.8,2009-12-11 14:59,-25.82,10.89,2007-3-11,7.61,2005-12-11,-24.76,11,2021-12-10,7.61,2005-12-11,"=LIEN_HYPERTEXTE(""http://www.jensen-group.com"";""http://www.jensen-group.com"")",Scarlet Janssens,+32 (0)9 333 83 30,2000 Industrials,2700 Industrial Goods & Services,2750 Industrial Engineering,Yes,No,-,-
KBC,BE0003565737,BE0003565737,BRU,KBC,8355 Banks,EUR,11.14,1741260,-0.76,2009-12-11 17:37,19279101,"357,980,313","3,987,900,687",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,10.55,11.53,2009-12-11 9:52,10.5,2009-12-11 9:02,-56.31,32.86,2017-2-11,7.653,2025-11-11,-61.59,32.86,2017-2-11,7.65,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.kbc.com"";""http://www.kbc.com"")",Wim Allegaert,+32 2 429 4051,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
KBC ANCORA,BE0003867844,BE0003867844,BRU,KBCA,8355 Banks,EUR,5.78,237872,1.76,2009-12-11 17:35,1365370,"78,301,314","452,581,595",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,5.65,6,2009-12-11 9:53,5.33,2009-12-11 9:04,-56.05,15.18,2017-2-11,2.97,2023-11-11,-60.14,15.18,2017-2-11,2.97,2023-11-11,"=LIEN_HYPERTEXTE(""http://www.kbcancora.be"";""http://www.kbcancora.be"")",Jan Bergmans,+32 (0)16 27 96 72,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
KBC STRIP,BE0005538096,BE0005538096,BRU,KBCS,8355 Banks,EUR,0.002,2172,0,2009-12-11 15:00,4,"58,346,625","116,693",null,Belgium zone  ,,Call auction,0.002,0.002,2009-12-11 15:00,0.002,2009-12-11 15:00,-92.31,0.046,2019-4-11,0.001,2001-12-11,-92.86,0.05,2019-4-11,0,2001-12-11,-,-,-,8000 Financials,8300 Banks,8350 Banks,No,No,-,-
KEYWARE TECH. (D),BE0003880979,BE0003880979,BRU,KEYW,9537 Software,EUR,0.65,8952,1.56,2009-12-11 17:35,5778,"16,808,279","10,925,381",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,0.67,0.67,2009-12-11 12:06,0.63,2009-12-11 15:18,-56.95,1.93,2019-1-11,0.6,2025-11-11,-58.86,1.93,2019-1-11,0.6,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.keyware.com"";""http://www.keyware.com"")",-,-,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
KINEPOLIS GROUP,BE0003722361,BE0003722361,BRU,KIN,5755 Recreational Services,EUR,54.12,84462,0.04,2009-12-11 17:35,4534403,"6,930,778","375,093,705",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,54.74,54.78,2009-12-11 17:25,54.05,2009-12-11 16:50,6.14,59.95,2004-4-11,44.5,2008-8-11,6.12,59.95,2004-4-11,44.5,2008-8-11,"=LIEN_HYPERTEXTE(""http://www.kinepolis.com"";""http://www.kinepolis.com"")",Duyck Tine,+32.(0)9.241.00.22,5000 Consumer Services,5700 Travel & Leisure,5750 Travel & Leisure,Yes,No,-,-
LEASINVEST-SICAFI,BE0003770840,BE0003770840,BRU,LEAS,8671 Industrial & Office REITs,EUR,63.93,417,-0.88,2009-12-11 17:35,26559,"4,012,832","256,540,350",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,64.5,64.5,2009-12-11 9:00,62.1,2009-12-11 14:53,0.9,70,2003-6-11,58.27,2009-8-11,-3.05,70,2003-6-11,58.27,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.leasinvest-realestate.com"";""http://www.leasinvest-realestate.com"")",Jean-Louis Appelmans,+32 3 238 98 77,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
LOTUS BAKERIES,BE0003604155,BE0003604155,BRU,LOTB,3577 Food Products,EUR,416.8,285,-0.01,2009-12-11 17:35,117571,"772,563","322,004,258",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,416.86,417,2009-12-11 12:35,412,2009-12-11 9:44,2.93,423,2028-10-11,325,2003-8-11,4.42,423,2028-10-11,325,2003-8-11,"=LIEN_HYPERTEXTE(""http://www.lotusbakeries.com"";""http://www.lotusbakeries.com"")",Mrs. Axelle Heuvelmans,0032 9 376 26 11,3000 ConsumerGoods,3500 Food & Beverage,3570 Food Producers,Yes,No,-,-
MDXHEALTH,BE0003844611,BE0003844611,BRU,MDXH,4573 Biotechnology,EUR,1.44,13652,-0.69,2009-12-11 17:35,19635,"18,622,327","26,816,151",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,1.44,1.46,2009-12-11 9:51,1.43,2009-12-11 14:44,-3.36,2.76,2026-1-11,1.25,2019-8-11,-5.88,2.76,2026-1-11,1.25,2019-8-11,"=LIEN_HYPERTEXTE(""http://www.oncomethylome.com"";""http://www.oncomethylome.com"")",Philip Devine,+32 (0)4 364 20 70,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,Yes,No,-,-
MEDIVISION,IL0010846314,IL0010846314,BRU,MEDV,4535 Medical Equipment,EUR,0.02,133094,100,2001-12-11 16:30,2662,"5,484,546","109,691",Compartment C (Small Caps),International zone (out of Euro)  ,,Double call auction,0.02,0.02,2001-12-11 16:30,0.02,2001-12-11 16:30,-94.29,0.4,2019-8-11,0.01,2010-11-11,-94.29,0.4,2019-8-11,0.01,2010-11-11,"=LIEN_HYPERTEXTE(""http://www.medivision.co.il"";""http://www.medivision.co.il"")",Noam Allon,-9893912,4000 HealthCare,4500 Health Care,4530 Health Care Equipment & Services,No,No,Halted,2009-12-11
MELEXIS (D),BE0165385973,BE0165385973,BRU,MELE,9576 Semiconductors,EUR,10.4,42952,3.28,2009-12-11 17:35,440514,"43,241,860","449,715,344",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,9.99,10.43,2009-12-11 16:11,9.68,2009-12-11 9:00,-22.73,13.9,2009-2-11,8.05,2019-8-11,-24.25,13.9,2009-2-11,8.05,2019-8-11,"=LIEN_HYPERTEXTE(""http://www.melexis.com"";""http://www.melexis.com"")",Karen van Griensven,+32 13 67 07 80,9000 Technology,9500 Technology,9570 Technology Hardware & Equipment,Yes,No,-,-
MIKO,BE0003731453,BE0003731453,BRU,MIKO,3537 Soft Drinks,EUR,46.73,490,-0.04,2008-12-11 16:30,22898,"1,242,000","58,038,660",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,46.73,46.73,2008-12-11 16:30,46.73,2008-12-11 16:30,-8.35,55,2006-6-11,46.3,2002-12-11,-6.75,55,2006-6-11,46.3,2002-12-11,"=LIEN_HYPERTEXTE(""http://www.miko.be"";""http://www.miko.be"")",WIM VAN GEMERT,+32 14 46.27.70,3000 ConsumerGoods,3500 Food & Beverage,3530 Beverages,Yes,No,-,-
MOBISTAR,BE0003735496,BE0003735496,BRU,MOBB,6575 Mobile Telecommunications,EUR,38.745,76323,1.61,2009-12-11 17:35,2952507,"60,014,414","2,325,258,470",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,38.15,38.99,2009-12-11 12:56,38.03,2009-12-11 9:00,-20.13,53.33,2010-5-11,37.73,2025-11-11,-15.55,53.33,2010-5-11,37.73,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.mobistar.be"";""http://www.mobistar.be"")",Nathalie Kervyn,+32 2 745 78 51,6000 Telecommunications,6500 Telecommunications,6570 Mobile Telecommunications,Yes,No,-,-
MONTEA C.V.A.,BE0003853703,BE0003853703,BRU,MONT,8671 Industrial & Office REITs,EUR,23.9,200,0,2009-12-11 16:55,4773,"5,634,126","134,655,611",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,23.9,23.9,2009-12-11 9:00,23.8,2009-12-11 15:58,1.75,26,2011-5-11,22.65,2009-8-11,3.02,26,2011-5-11,22.65,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.montea.com"";""http://www.montea.com"")",Christine De Glas,+32 53 82 62 62,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
MOPOLI,NL0000488153,NL0000488153,BRU,MOP,8775 Specialty Finance,EUR,290,1,0,2023-9-11 11:30,290,"100,000","29,000,000",Compartment C (Small Caps),Netherlands zone  ,PEA eligible,Double call auction,290,290,2023-9-11 11:30,290,2023-9-11 11:30,-17.14,344,2018-1-11,270,2010-2-11,1.75,350,2029-12-10,270,2010-2-11,-,-,-,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
MOPOLI FOND,NL0000488161,NL0000488161,BRU,MOPF,8775 Specialty Finance,EUR,8193,1,5.04,2023-9-11 11:30,8193,"2,400","19,663,200",Compartment C (Small Caps),Netherlands zone  ,PEA eligible,Double call auction,8193,8193,2023-9-11 11:30,8193,2023-9-11 11:30,-2.46,8200,1930-6-11,7026,2020-1-11,5.04,8400,2005-11-10,7026,2020-1-11,-,-,-,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
MOURY CONSTRUCT,BE0003602134,BE0003602134,BRU,MOUR,2357 Heavy Construction,EUR,113.48,25,1.96,2009-12-11 16:30,2837,"396,426","44,986,422",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,113.48,113.48,2009-12-11 16:30,113.48,2009-12-11 16:30,4.36,131,2010-6-11,102.5,2016-3-11,8.08,131,2010-6-11,102.5,2016-3-11,"=LIEN_HYPERTEXTE(""http://www.moury-construct.be"";""http://www.moury-construct.be"")",Gilles - Olivier Moury,04/344.72.11,2000 Industrials,2300 Construction & Materials,2350 Construction & Materials,Yes,No,-,-
MOURY STRIP,BE0005521894,BE0005521894,BRU,MOURS,2357 Heavy Construction,EUR,0.06,100,-14.28,2025-11-11 15:00,6,"128,289","7,697",null,Belgium zone  ,,Call auction,0.06,0.06,2025-11-11 15:00,0.06,2025-11-11 15:00,-92,1.68,2007-6-11,0.06,2025-11-11,-90.32,1.68,2007-6-11,0.06,2025-11-11,-,-,-,2000 Industrials,2300 Construction & Materials,2350 Construction & Materials,No,No,-,-
NEUFCOUR-FIN.,BE0003680916,BE0003680916,BRU,NEU,8633 Real Estate Holding & Development,EUR,8,45,-35.12,2001-12-11 16:30,360,"366,060","2,928,480",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,8,8,2001-12-11 16:30,8,2001-12-11 16:30,5.12,16.3,2022-9-11,7,2011-4-11,-5.88,16.3,2022-9-11,7,2011-4-11,"=LIEN_HYPERTEXTE(""http://www.neufcour.com"";""http://www.neufcour.com"")",Janssen Jacques,+32 43586944,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,-,-
NYRSTAR (D),BE0003876936,BE0003876936,BRU,NYR,1755 Nonferrous Metals,EUR,6.425,1090439,5.09,2009-12-11 17:35,6918099,"170,022,544","1,092,394,845",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,6.05,6.449,2009-12-11 16:33,6.02,2009-12-11 9:00,-31.61,10.861,2013-1-11,5.51,2025-11-11,-27.33,10.86,2013-1-11,5.51,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.nyrstar.com"";""http://www.nyrstar.com"")",Anthony Simms,+41 44 745 8157,1000 BasicMaterials,1700 Basic Resources,1750 Industrial Metals & Mining,Yes,No,-,-
NYRSTAR STRIP (D),BE0005644183,BE0005644183,BRU,NYRS,1755 Nonferrous Metals,EUR,0.002,2850,100,2009-12-11 15:00,6,"70,022,544","140,045",null,Belgium zone  ,,Call auction,0.002,0.002,2009-12-11 15:00,0.002,2009-12-11 15:00,-60,0.014,2017-3-11,0.001,2008-12-11,-60,0.01,2017-3-11,0,2008-12-11,-,-,-,1000 BasicMaterials,1700 Basic Resources,1750 Industrial Metals & Mining,No,No,-,-
OIM,GB00B063YS85,GB00B063YS85,BRU,OIM,8775 Specialty Finance,EUR,1.39,15390,-0.71,2009-12-11 10:04,20285,"17,075,795","23,735,355",Compartment C (Small Caps),International zone (out of Euro)  ,PEA eligible,Continuous,1.39,1.39,2009-12-11 9:00,1.3,2009-12-11 9:55,-10.9,1.77,2007-10-11,0.5,2005-8-11,-24.86,1.9,2009-12-10,0.5,2005-8-11,"=LIEN_HYPERTEXTE(""http://www.oimplc.com"";""http://www.oimplc.com"")",Marius Ritskes CEO,+31 40 214 6565,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
